Time;source;dest;direction;
1469170121000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;3;
1469047721000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-b0-00-87;3;
1469033321000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;3;
1468925321000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-b0-00-87;3;
1468896520000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-60-08-d5;3;
1468889320000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-b0-00-87;3;
1468846120000;00-17-0d-00-00-30-60-ef;00-17-0d-00-00-60-3c-d9;3;
1468838921000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;3;
1468781320000;00-17-0d-00-00-30-60-ef;00-17-0d-00-00-60-3c-d9;3;
1468774120000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-b0-00-87;3;
1468738119000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;3;
1468716519000;00-17-0d-00-00-30-60-ef;00-17-0d-00-00-60-3c-d9;3;
1468680520000;00-17-0d-00-00-30-60-ef;00-17-0d-00-00-60-3c-d9;3;
1468651719000;00-17-0d-00-00-30-60-ef;00-17-0d-00-00-60-3c-d9;3;
1468637319000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-b0-00-87;3;
1468622919000;00-17-0d-00-00-60-08-d5;00-17-0d-00-00-3f-fe-88;3;
1468608519000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;3;
1468594119000;00-17-0d-00-00-30-60-ef;00-17-0d-00-00-60-3c-d9;3;
1468586919000;00-17-0d-00-00-58-32-36;00-17-0d-00-00-3f-fe-88;3;
1468572519000;00-17-0d-00-00-30-60-ef;00-17-0d-00-00-60-3c-d9;3;
1468571097000;00-17-0d-00-00-58-32-36;00-17-0d-00-00-b0-00-cc;3;
1468571075000;00-17-0d-00-00-58-32-36;00-17-0d-00-00-38-0f-66;3;
1468561623000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-b0-00-87;3;
1468561621000;00-17-0d-00-00-60-05-5f;00-17-0d-00-00-3f-fe-88;3;
1468561616000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-3f-fe-88;3;
1468561613000;00-17-0d-00-00-60-01-f8;00-17-0d-00-00-b0-00-87;3;
1468561608000;00-17-0d-00-00-b0-00-87;00-17-0d-00-00-3f-fe-88;3;
1468522119000;00-17-0d-00-00-30-60-ef;00-17-0d-00-00-60-3c-d9;3;
1468514918000;00-17-0d-00-00-60-05-ab;00-17-0d-00-00-30-60-ef;3;
1468507719000;00-17-0d-00-00-60-02-1b;00-17-0d-00-00-3f-fe-88;3;
1468493319000;00-17-0d-00-00-58-32-36;00-17-0d-00-00-3f-fe-88;3;
1468486119000;00-17-0d-00-00-30-60-ef;00-17-0d-00-00-60-3c-d9;3;
1468478919000;00-17-0d-00-00-60-06-27;00-17-0d-00-00-b0-00-87;3;
1468464518000;00-17-0d-00-00-30-60-ef;00-17-0d-00-00-60-3c-d9;3;
1468442918000;00-17-0d-00-00-60-02-4b;00-17-0d-00-00-3f-fe-88;3;
1468428519000;00-17-0d-00-00-30-60-ef;00-17-0d-00-00-60-3c-d9;3;
