Time;source;dest;direction;
1469173722000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;2;
1469051321000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;2;
1469036921000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-b0-00-87;2;
1468928920000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-60-08-d5;2;
1468900120000;00-17-0d-00-00-60-03-82;00-17-0d-00-00-b0-00-87;2;
1468892920000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;2;
1468846181000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468842521000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-b0-00-87;2;
1468813720000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;2;
1468781380000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468777720000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-b0-00-87;2;
1468741719000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-b0-00-87;2;
1468720119000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;2;
1468716580000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468691319000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;2;
1468680580000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468655319000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-b0-00-87;2;
1468651780000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468640919000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-58-32-36;2;
1468626519000;00-17-0d-00-00-60-08-d5;00-17-0d-00-00-60-03-82;2;
1468612119000;00-17-0d-00-00-38-0f-66;00-17-0d-00-00-b0-00-87;2;
1468594179000;00-17-0d-00-00-60-3c-d9;00-17-0d-00-00-30-60-ef;3;
1468590519000;00-17-0d-00-00-58-32-36;00-17-0d-00-00-38-0f-66;2;
